id,subject_course,department,title,section,credit_hours,capacity,enrolled,seats_available,instructors,block,days,begin_time,end_time,meeting_time
92714,CSCI0145,CSCI,Introduction to Computing,C,1,30,4,26,Amy Briggs,MoWe1115,MoWe,1115,1230,MoWe 1115-1230 75SHS 102
91469,CSCI0145,CSCI,Introduction to Computing Lab,X,0,30,5,25,Christopher Andrews,Fr0945,Fr,0945,1035,Fr 0945-1035 75SHS 224
91470,CSCI0145,CSCI,Introduction to Computing Lab,Y,0,30,5,25,Smith Gakuya,Fr0840,Fr,0840,0930,Fr 0840-0930 75SHS 202
91471,CSCI0145,CSCI,Introduction to Computing Lab,Z,0,30,8,22,Smith Gakuya,Fr1115,Fr,1115,1205,Fr 1115-1205 75SHS 102
91163,CSCI0200,CSCI,Math Foundations of Computing,A,1,25,10,15,Francis Swenton,MoWeFr0840,MoWeFr,0840,0930,MoWeFr 0840-0930 75SHS 224
90079,CSCI0201,CSCI,Data Structures,A,1,25,9,16,Laura Biester,TuTh0945,TuTh,0945,1100,TuTh 0945-1100 75SHS 202
91177,CSCI0201,CSCI,Data Structures Lab,Y,0,25,5,20,Laura Biester,Fr0945,Fr,0945,1035,Fr 0945-1035 75SHS 202
91178,CSCI0201,CSCI,Data Structures Lab,Z,0,25,4,21,Laura Biester,Fr1115,Fr,1115,1205,Fr 1115-1205 75SHS 202
90080,CSCI0202,CSCI,Computer Architecture,A,1,25,13,12,Peter Johnson,MoWeFr1115,MoWeFr,1115,1205,MoWeFr 1115-1205 75SHS 224
90081,CSCI0301,CSCI,Theory of Computation,A,1,25,20,5,Matthew Dickerson,TuTh1115,TuTh,1115,1230,TuTh 1115-1230 75SHS 203
91735,CSCI0302,CSCI,Algorithms and Complexity,A,1,25,10,15,Ananya Das,TuTh0945,TuTh,0945,1100,TuTh 0945-1100 75SHS 102
92717,CSCI0315,CSCI,Systems Programming,A,1,20,16,4,Peter Johnson,TuTh0945,TuTh,0945,1100,TuTh 0945-1100 75SHS 224
92718,CSCI0315,CSCI,Systems Programming Lab,Z,0,20,16,4,Peter Johnson,Th1330,Th,1330,1615,Th 1330-1615 75SHS 224
91718,CSCI0333,CSCI,Quantum Computing,A,1,20,23,-3,Shelby Kimmel,TuTh0815,TuTh,0815,0930,TuTh 0815-0930 75SHS 224
92719,CSCI0452,CSCI,Image Processing,A,1,20,7,13,Andrea Vaccari,MoWe1115,MoWe,1115,1230,MoWe 1115-1230 75SHS 203
92720,CSCI0452,CSCI,Image Processing Lab,Z,0,20,7,13,Andrea Vaccari,We1330,We,1330,1615,We 1330-1615 75SHS 203
92721,CSCI0467,CSCI,Generative Art,A,1,20,20,0,Christopher Andrews,TuTh1415,TuTh,1415,1530,TuTh 1415-1530 75SHS 203
90301,CSCI0500,CSCI,Advanced Study,A,1,99,0,99,,Su1900,Su,1900,2029,Su 1900-2029
90401,CSCI0500,CSCI,Advanced Study,B,1,99,0,99,Amy Briggs,Su1900,Su,1900,2029,Su 1900-2029
90566,CSCI0500,CSCI,Advanced Study,C,1,99,0,99,Francis Swenton,Su1900,Su,1900,2029,Su 1900-2029
90402,CSCI0500,CSCI,Advanced Study,D,1,99,0,99,Matthew Dickerson,Su1900,Su,1900,2029,Su 1900-2029
90403,CSCI0500,CSCI,Advanced Study,E,1,99,0,99,Peter Johnson,Su1900,Su,1900,2029,Su 1900-2029
90461,CSCI0500,CSCI,Advanced Study,F,1,99,0,99,Ananya Das,Su1900,Su,1900,2029,Su 1900-2029
91184,CSCI0500,CSCI,Advanced Study,G,1,99,0,99,Christopher Andrews,Su1900,Su,1900,2029,Su 1900-2029
91267,CSCI0500,CSCI,Advanced Study,H,1,99,0,99,Michael Linderman,Su1900,Su,1900,2029,Su 1900-2029
91308,CSCI0500,CSCI,Advanced Study,I,1,99,0,99,Philip Caplan,Su1900,Su,1900,2029,Su 1900-2029
91309,CSCI0500,CSCI,Advanced Study,J,1,99,0,99,Shelby Kimmel,Su1900,Su,1900,2029,Su 1900-2029
91361,CSCI0500,CSCI,Advanced Study,K,1,99,0,99,Philip Chodrow,Su1900,Su,1900,2029,Su 1900-2029
91551,CSCI0500,CSCI,Advanced Study,L,1,99,0,99,Andrea Vaccari,Su0800,Su,0800,0850,Su 0800-0850
91708,CSCI0500,CSCI,Advanced Study,M,1,99,0,99,Laura Biester,Su1900,Su,1900,2029,Su 1900-2029
92380,CSCI0505,CSCI,Independent Study,A,0.5,10,0,10,,TBA,,,,TBA
92381,CSCI0505,CSCI,Independent Study,B,0.5,10,0,10,Amy Briggs,TBA,,,,TBA
